 ,bis,Komplett,Beendet,gelesen bis,Typ,Zugang,Verlag,Kommentar,VÖ +1,VÖ +2,VÖ +3,VÖ +4,VÖ +5
The Advanced Player of the Tutorial Tower,17,Ja,Ja,17,Manhwa,01.2023,Paper Toons,,Beendet,,,,
The Beginning After the End,8,Nein,Nein,7,Manhwa,08.2023,Carlsen Manga,,29.09.2026,02.03.2027,,,
The Eminence in Shadow,5,Nein,Nein,5,Light Novel,12.2023,JNC Nina,,Gestoppt,JP 6,,,
The Former Assassin Who Got Reincarnated as a Noble Girl,2,Nein,Nein,2,Manga,05.2025,AniMachon,,TBA,,,,
The Grandmaster of Demonic Cultivation,11,Nein,Ja,1,Manhwa,11.2022,Tokoypop,13 Abschluss,12.08.2026,,,,
The Ichinose Family's Deadly Sins,6,Ja,Ja,0,Manga,05.2024,Hayabusa,,Beendet,,,,
The Rising of the Shield Hero – Light Novel,18,Nein,Nein,0,Manga,04.2025,Tokoypop,,11.11.2026,,,,
The Saint's Magic Power is Omnipotent,2,Nein,Nein,0,Light Novel,12.2023,JNC Nina,,Gestoppt,,,,
The World After the Fall,12,Nein,Nein,6,Manhwa,05.2024,C Lines,,29.09.2026,02.03.2027,,,
The World’s Finest Assassin Gets Reincarnated in Another World as an Aristocrat,2,Nein,Nein,1,Light Novel,07.2025,JNC Nina,,Fortlaufend,,,,
Togen Anki,22,Nein,Nein,2,Manga,02.2023,Panini Manga,,22.09.2026,15.12.2026,,,
Tomb Raider King,15,Nein,Nein,11,Manhwa,11.2022,Altraverse,,14.09.2026,,,,
Touring After the Apocalypse,7,Nein,Nein,2,Manga,01.2024,Carlsen Manga,,29.09.2026,JP 8,,,
Trash Ability: An unrivaled Thermo-Operator,2,Ja,Ja,0,Manga,07.2025,AniMachon,,Beendet,,,,
Undead Unluck,23,Nein,Ja,8,Manga,11.2022,Carlsen Manga,Abschluss Band 27,29.09.2026,11.01.2027,,,
Under Ninja,13,Nein,Nein,2,Manga,01.2023,Carlsen Manga,,01.09.2026,,,,
Verbotene Allianz – Boy meets Satan,4,Ja,Ja,4,Manga,11.2022,Manga Jam Session,,Beendet,,,,
Versus,5,Nein,Nein,1,Manga,04.2024,Manga Cult,,14.10.2026,,,,
Villain to Kill,12,Nein,Nein,10,Manhwa,08.2023,Paper Toons,,31.08.2026,02.11.2026,,,
"Vom Landei zum Schwertheiligen – Ich bin nur ein alter Schwertmeister vom Land, aber meine Schülerinnen lassen mich nicht in Frieden",7,Nein,Nein,1,Manga,04.2025,Loewe Manga,,08.10.2026,,,,
Watch Dogs Tokyo,3,Ja,Ja,0,Manga,04.2024,Tokoypop,,Beendet,,,,
Wiedergeburt in Maydare – Die bösartigste Hexe der Welt,10,Nein,Nein,3,Manga,11.2022,Altraverse,,TBA,JP 11,,,
Willkommen in der Dämonenfestung – du kämpfst jetzt auf der dunklen Seite,11,Nein,Nein,10,Manga,04.2024,Egmont Manga,,08.09.2026,,,,
Wind Breaker,20,Nein,Nein,0,Manga,04.2023,Tokoypop,,09.09.2026,11.11.2026,13.01.2027,,
Witch and Hound,3,Nein,Ja,0,Manga,01.2026,Egmont Manga,4 Bände,04.08.2026,,,,
Yakuza Reincarnation,15,Nein,Nein,13,Manga,03.2023,Manga Cult,,06.08.2026,07.01.2027,,,
YoRHa - Abstieg 11941,4,Ja,Ja,4,Manga,10.2022,Altraverse,,Beendet,,,,
,0,Nein,Nein,0,Manga,,Altraverse,,TBA,,,,
